Data,DOLAR,MRVE3,BRAP4
Jan 2015,2.6929,4.4487026937,8.2675306835
Fev 2015,2.6894,4.3071810313,7.2553036863
Mar 2015,2.8655,4.3502528416,7.7098966491
Abr 2015,3.1556,5.0086362278,6.2491379286
Mai 2015,3.0754,5.0748537173,8.0787540794
Jun 2015,3.1789,5.0683971604,7.1605689275
Jul 2015,3.1191,4.9521791364,6.5867032076
Ago 2015,3.4425,4.8747004537,6.1403632032
Set 2015,3.6725,3.9514128181,5.8343014859
Out 2015,3.9794,4.132196411,5.37520891
Nov 2015,3.8126,5.0296578191,5.5680460738
Dez 2015,3.8745,5.5526389273,3.5890417463
Jan 2016,4.0387,5.3783118912,3.1529899454
Fev 2016,3.9986,5.9077495564,2.267469365
Mar 2016,3.9913,6.9343421023,2.9114843325
Abr 2016,3.5799,7.7478682707,4.3538095203
Mai 2016,3.4991,7.7091289294,5.7022158587
Jun 2016,3.6126,6.7120383406,4.6691085149
Jul 2016,3.2298,7.3173857034,5.983972407
Ago 2016,3.2662,8.9471670646,7.0841646433
Set 2016,3.2472,8.1156459619,7.0170797508
Out 2016,3.2338,7.9493417414,6.9097439229
Nov 2016,3.2053,8.1222981307,8.6405341482
Dez 2016,3.4362,7.3173857034,9.9151471049
Jan 2017,3.2729,7.3506465475,9.8033007964
Fev 2017,3.1479,8.5679934418,14.6914294
Mar 2017,3.0976,9.4660362326,16.30052291
Abr 2017,3.1167,9.8749362859,14.333101854
Mai 2017,3.1724,10.856296413,14.063674728
Jun 2017,3.2307,9.0307522925,12.719658522
Jul 2017,3.3015,9.2740751026,14.610980296
Ago 2017,3.1161,9.6286311972,15.871861479
Set 2017,3.1333,9.3227396646,19.058704029
Out 2017,3.1642,9.5243499929,16.758635058
Nov 2017,3.2736,9.1072251757,16.80020257
Dez 2017,3.2636,9.21150638,17.735471579
Jan 2018,3.2697,10.518497473,21.214841407
Fev 2018,3.173,10.601922437,22.668795764
Mar 2018,3.262,10.622778678,23.965178713
Abr 2018,3.3104,11.15113678,22.905152877
Mai 2018,3.5424,10.592854713,26.295767674
Jun 2018,3.7413,9.9083490669,24.343258668
Jul 2018,3.9055,8.7246082492,21.240031427
Ago 2018,3.7491,10.02526174,23.482075989
Set 2018,4.1279,9.4991547101,23.25935633
Out 2018,4.0273,8.8415209225,27.958741123
Nov 2018,3.6973,9.2653293634,26.117591947
Dez 2018,3.8285,8.8122927542,23.868123397
Jan 2019,3.8595,11.346523203,23.560005107
Fev 2019,3.6694,13.285486029,21.786752873
Mar 2019,3.7832,12.459631492,21.718550864
Abr 2019,3.8682,12.702001845,24.999825297
Mai 2019,3.965,12.773815283,23.38997724
Jun 2019,3.9003,14.856404985,23.621637628
Jul 2019,3.8193,17.535171915,25.97685158
Ago 2019,3.8296,19.213485964,23.667969706
Set 2019,4.1581,18.250518887,22.193065232
Out 2019,4.174,16.471322573,24.038626328
Nov 2019,3.9786,16.737284909,25.158318206
Dez 2019,4.2261,16.36435479,27.119709497
